ID,title,key_words
24010035,00_Can't get it out of my head: Proactive interference in the visual working memory of 3- to 8-year-old children,"working memory, proactive interference, capacity, children, cognitive control"
24010036,00_Exposure to community violence as a mechanism linking neighborhood disadvantage to amygdala reactivity and the protective role of parental nurturance,"neighborhood disadvantage, community violence, parenting, amygdala reactivity"
24010037,00_Neighborhood features moderate genetic and environmental influences on childrens social information processing,"child social information processing, neighborhood social processes, neighborhood structural characteristics, genotype–environment interaction"
24010038,00_White parents' racial socialization during a guided discussion predicts declines in white childrens pro-white biases,"racial socialization, implicit bias, parent–child interactions"
24010039,"00_""Honestly, they are just like us"": U.S. parents choose middle-class gender and racial ingroup peers for their children","social identity theory, intergroup attitudes, gender, race, social class"
24010040,00_Cognitive and motivational numeracy parenting practices: Implications for children's numeracy engagement during early elementary school,"parent numeracy talk, parent autonomy support, engagement, math learning"
24010041,00_Trajectories of math expectancies for success and values in Latinx and Asian students,"expectancy-value theory, motivation, math, racial/ethnic differences, gender difference"
24010042,00_Promoting scientific understanding and conceptual change in young children using explanations and guidance,"conceptual change, science learning, young children"
24010043,00_Associations between adolescent friends responses during problem talk and depressive symptoms,"adolescence, social support, friendship, depressive symptoms"
24010044,00_Diseases of despair in early adulthood: The complex role of social relationships,"emerging adulthood, depression, substance-related problems, social support, relationships"
24010045,00_Associations between daily food insecurity and parent and child well-being,"food insecurity, parenting, social-emotional development, poverty, intensive longitudinal data"
24010046,00_Longitudinal patterns of adversity from childhood to adolescence: Examining associations with mental health through emerging adulthood using a random-intercept latent transition analysis,"adversity, suicidal behaviors, mental health, latent variable analysis, longitudinal"
24010047,00_Comparing the multivariate relationships of conceptual adversity models and structural brain development in adolescent girls: A registered report,"childhood adversity, structural neuroimaging, multivariate analysis, adolescent development"
24010048,00_Child effects on positive parenting vary with neighborhood opportunity,"positive parenting, genotype–environment interaction, child effects, neighborhood, maternal support"
24010049,00_Short- and long-delay consolidation of memory accessibility and precision across childhood and young adulthood,"episodic memory, object–scene pairs, memory consolidation, congruent and incongruent information, prior knowledge"
24010050,00_The differential impact of active learning on childrens memory,"active learning, information search efficiency, memory, development"
24010051,"00_The Global Temperament Project: Parent-reported temperament in infants, toddlers, and children from 59 nations","temperament, culture, gender, infants, children"
24010052,00_The development of self- and group orientations among Chinese young adolescents: Implications for social and behavioral adjustment,"self- and group orientations, adjustment, Chinese adolescents"
24010053,"00_Affinity for solitude in Chinese children and adolescents: Relations with social, school, and psychological adjustment","affinity for solitude, adjustment, Chinese children and adolescents"
24010054,00_Revisiting associations between behavioral inhibition/shyness and social competence in young Chinese children: Sociohistorical imprint on three samples,"behavioral inhibition, shyness, cooperative behaviors, prosocial behaviors, social changes"
24010055,00_Variations in infants' physical and social environments shape spontaneous locomotion,"infant locomotion, exploration, walking, play, gross-motor play"
24010056,00_Real-time teaching and learning: Caregivers teaching infants to descend stairs,"infancy, motor development, stairs, naturalistic, caregiver interaction"
24010057,00_Maternal autonomy support and intrusive control in the United States and China: Moment-to-moment associations with preschoolers agency and defeat,"parent–child interaction, autonomy support, intrusive control, self-regulation, China"
24010058,00_Maternal education prospectively predicts child neurocognitive function: An environmental influences on child health outcomes study,"maternal education, socioeconomic status, neurocognitive outcomes, executive function, language"
24010059,00_Parent versus child influences on differential parent warmth and discipline within twin pairs,"temperament, parent personality, parental warmth, parental discipline, twins"
24010060,00_A process model of parental executive functioning as a spillover mechanism linking interparental conflict and parenting difficulties across parenting domains,"interparental conflict, spillover mechanisms, parental executive functioning, parenting"
24010061,"00_""He did girls' things!"" Hong Kong and Canadian children's reasoning about moral judgments of peers gendered behaviors","gender nonconformity, gender stereotypes, reasoning style, gender role attitudes, peer relations"
24010062,00_Gender and cultural differences in the development of reciprocity in young children,"reciprocity, cooperation, early childhood, gender, culture"
24010063,00_Longitudinal stability and change across a year in children's gender stereotypes about four different STEM fields,"STEM stereotypes, gender, longitudinal"
24010064,00_Being out in high school: Positive implications for well-being in three U.S. cohorts of sexual minority adults,"outness, sexual minority, adolescence, life course, probability sample"
24010065,00_Updating trust: How children combine trait information with prior accuracy as they interact with an informant,"first-hand experience, epistemic trust, trait-inferences, updating belief, testimony"
24010066,00_Trusting information from friends: Adults expect it but preschoolers do not,"friendship, trust in testimony, selective trust"
24010067,"00_The nonmeek inherit the earth: Children generalize dominance, but not submissiveness","dominance, hierarchy, status, social cognition"
24010068,00_Can behaviorally inhibited preschoolers make friends?,"behavioral inhibition, friendship, social withdrawal, social skills, peer exclusion"
24010069,00_Hostile interparental conflict and parental discipline: Romantic attachment as a spillover mechanism,"hostile interparental conflict, romantic attachment, Go/No-Go Association Task, parental discipline, fathers"
24010070,00_The role of affiliation in the development of collaborative partner choice,"cooperation, collaboration, affiliation, partner choice, in-group bias"
24010071,00_Children's rehearsal development parallels that of self-talk in other executive functions,"rehearsal, self-talk, private speech, short-term memory, working memory"
24010072,00_The developmental path of metacognition from toddlerhood to early childhood and its influence on later memory performance,"metacognition, memory, longitudinal design, cognitive development"
24010073,00_Mealtime conversations between parents and their 2-year-old children in five cultural contexts,"language acquisition, communication, gesture, cross-cultural psychology, parent–child interaction"
24010074,00_The effect of peers' theory of mind on children's own theory of mind development: A longitudinal study in middle childhood and early adolescence,"peers, theory of mind, diversity, social isolation"
24010075,00_Time to transfer: Long-term effects of a sustained and spiraled content literacy intervention in the elementary grades,"spiral curricula, content literacy intervention, domain and topic knowledge, reading comprehension, randomized controlled trial"
24010076,00_Educational experiences of U.S. children during the 20202021 school year in the context of the COVID-19 pandemic,"coronavirus disease 2019 pandemic, education, families, children"
24010077,00_Young children and adults use reasoning by exclusion rather than attraction to novelty to disambiguate novel word meanings,"word learning, mutual exclusivity, disjunctive syllogism, reasoning by exclusion, novelty"
24010078,"00_Type of bilingualism, task domain, and attention demands impact children's cognitive performance","bilingualism, French immersion, attention, verbal fluency, language proficiency"
24010079,00_Testing mechanisms underlying children's reading development: The power of learning lexical representations,"lexical representations, self-teaching, orthographic learning, word reading, reading comprehension"
24010080,00_Testing theories of the vocabulary spurt with monolingual and bilingual infants,"infant bilingualism, vocabulary spurt, language acquisition, vocabulary, longitudinal study"
24010081,00_Vowel harmony preferences in infants growing up in multilingual Ghana (Africa),"infant speech perception, multilingualism, advanced tongue root harmony, field-based psycholinguistic"
24010082,00_Parasympathetic regulation and support from family and friends predict prosocial development in U.S. Mexican-origin adolescents,"prosocial, Mexican origin, adolescence, respiratory sinus arrhythmia, social support"
24010083,00_Mexican-origin adolescents' cumulative strengths predict baseline and longitudinal changes in self-growth outcomes,"cumulative strengths, immigrant families, Mexican-origin, adolescents"
24010084,00_Developmental paths from parents' bicultural socialization beliefs to emerging adult depressive symptoms in Chinese American families,"Chinese American, socialization, bicultural, parenting cognitions, adolescence"
24010085,00_Consistency and variability in multimodal parentchild social interaction: An at-home study using head-mounted eye trackers,"parent–child coordination, eye tracking, at-home research, visual attention, language learning"
24010086,"00_An asynchronous, hands-off workflow for looking time experiments with infants","looking time, violation-of-expectation, asynchronous testing, replication, open tools"
24010087,00_Boundedness supports children's event representations,"boundedness, aspect, event cognition, telicity, goals"
24010088,00_When children choose fantastical events in fiction,"fiction, fantasy, reality bias, precedent, familiarity"
24010089,00_The legacy of harsh parenting: Enduring and sleeper effects on trajectories of externalizing and internalizing symptoms,"harsh parenting, internalizing and externalizing symptoms, enduring effects, sleeper effects, developmental sensitivity"
24010090,00_Longitudinal changes in the value and influence of parent and peer attitudes about externalizing behaviors across adolescence,"parent influence, peer influence, attitudes, adolescence"
24010091,00_Association between developmental patterns of single and concurrent externalizing behaviors and internalizing problems over the preschool years,"co-occurrence, externalizing, internalizing, development, preschool"
24010092,"00_Longitudinal relations among temperament, cognitive control, and anxiety: From toddlerhood to late adolescence","behavioral inhibition, anxiety, cognitive control, early childhood, adolescence"
24010093,"00_Prenatal tobacco, tobaccocannabis coexposure, and child emotion regulation: The role of child autonomic functioning and sensitive parenting","prenatal tobacco exposure, prenatal tobacco and cannabis exposure, autonomic functioning, differential susceptibility, emotion regulation"
24010094,00_Maternal prenatal social disadvantage and neonatal functional connectivity: Associations with psychopathology symptoms at age 12 months,"neonatal imaging, functional connectivity, externalizing, socioeconomic status"
24010095,00_The effects of illicit drug use during pregnancy and parental hostility on problem behaviors in school-aged children over and above genetic influences,"problem behaviors, prenatal illicit drug use, genetic influences, parenting, adoption design"
24010096,00_Biological and social cascades of prenatal contextual risk and maternal psychological distress to early-childhood adjustment,"low income, prenatal stress, psychological distress, parenting, cortisol"
24010097,00_Contributions of prenatal risk factors and neonatal epigenetics to cognitive outcome in children born very preterm,"preterm, prenatal risk, DNA methylation, epigenetics, cognitive ability"
24010098,00_Maternal smoking during pregnancy is associated with DNA methylation in early adolescence: A sibling comparison design,"prenatal, epigenetics, adolescence, maternal smoking"
24010099,"00_Developmental cascades from maternal preconception stress to child behavior problems: Testing multilevel preconception, prenatal, and postnatal influences","preconception stress, prenatal stress, parenting, temperament, mental health"
24010100,00_Longitudinal effects of prenatal alcohol exposure on visual neurodevelopment over infancy,"prenatal alcohol exposure, infant neurodevelopment, fetal programming, visual-evoked potential event-related potential, myelination"
24010101,00_Psychosocial and biobehavioral processes underlying the association between prenatal risk factors and child self-regulation,"prenatal risk, parenting quality, small-worldness, self-regulation, developmental trajectories"
24010102,"00_Obstetrical and neonatal complications, prematurity, and childhood effortful control development: A longitudinal twin study","prematurity, obstetrical complications, neonatal complications, effortful control, twin models"
24010103,00_Resilience to stress during pregnancy: Biopsychosocial mechanisms and implications for offspring emotional and behavioral outcomes in toddlerhood,"prenatal stress, pregnancy, resilience, emotional support, toddler emotional and behavioral problems"
24010104,"00_Checking out the unexplained: With age, children become increasingly skeptical of surprising claims","information seeking, uncertainty monitoring, exploration, testing claims, evidence"
24010105,00_Children (and many adults) use perceptual similarity to assess relative impossibility,"possibility, magic, causal knowledge, perceptual similarity"
24010106,"00_Individual differences in categorization development: The mediation of executive functions and factual knowledge, the case of food","categorization, world knowledge, executive functions, food neophobia, individual differences"
24010107,00_Dynamic coupling of maternal sensitivity and toddlers' responsive/assertive behaviors predicts children's behavior toward peers during the preschool years,"mother–child dynamics, peer interactions, early childhood, residual dynamic structural equation models"
24010108,00_Observed child behavioral self-regulation and maternal supportive parenting are associated with dynamic physiological stress reactivity in preschoolers,"respiratory sinus arrhythmia, self-regulation, compliance, noncompliance, supportive parenting"
24010109,"00_The infant parasympathetic nervous system is socially embedded and dynamic at multiple timescales, within and between people","synchrony, infancy, (co-)regulation, physiology, mutual social engagement"
24010110,00_The promise of an identity-based self-affirmation intervention in protecting against self-esteem declines at the high school transition,"self-affirmation, adolescence, social identities, self-esteem, intervention"
24010111,00_Social identity development and religious discrimination among Muslim American youth,"Muslim American youth, social identity development, religious discrimination, adolescence"
24010112,00_Emerging adults' journeys out of the shutdown: Longitudinal narrative patterns in a college career defined by COVID-19,"narrative growth, COVID-19, identity development, mental health, emerging adulthood"
24010113,00_Bidirectional associations between online and offline appearance concerns during early-to-middle adolescence,"adolescence, social media, body image, gender"
24010114,"00_""With texting, I am always second guessing myself"": Teenage perfectionists' experiences of (dis)connection online","perfectionism, adolescence, social connection, social media, interpersonal sensitivity"
24010115,00_Black youths' ethnic and racial identity development from childhood to emerging adulthood,"ethnic and racial identity development, lifespan model, narrative, retrospective data"
24010116,00_Investigating hair cues as a mechanism underlying Black womens intersectional invisibility,"gender, race, hair, intersectionality"
24010117,00_Trajectories of emotional disclosure with parents during the college transition among Asian first-year students,"emotional disclosure with parents, college transition, independence–interdependence orientation, culture, latent growth curve modeling"
24010118,00_Response bias is genetically biased: Another argument for Kagans philippic against questionnaires in developmental psychology,"polygenic scores, questionnaire, educational attainment, socioeconomic status, heritability"
24010119,00_Advancing differential susceptibility research: Development and validation of the temperamental sensitivity Q-scale,"child temperament, environmental sensitivity, family climate, differential susceptibility, psychometric analyses"
24010120,00_Prenatal maternal immune activation predicts observed fearfulness in infancy,"temperament, fear reactivity, immune markers"
24010121,00_Neonatal neural responses to novelty related to behavioral inhibition at 1 year,"behavioral inhibition, neonate, anxiety, functional magnetic resonance imaging, auditory"
24010122,00_Categorical and latent profile approaches to temperamental infant reactivity and early trajectories of socioemotional adjustment,"temperamental reactivity, internalizing problems, infancy, latent profile analysis"
24010123,"00_The structure, development, and etiology of observed temperament during middle childhood","temperament, bifactor model, twin analyses, heritability, shared environment"
24010124,00_Behavioral inhibition and social maladjustment: The moderation role of social behaviors during cooperative and competitive peer interactions,"social behavior, cooperation and competition, behavioral inhibition, peer problems, emotional symptoms"
24010125,"00_Predicting pointing from early socioemotional communication with mothers, fathers, and strangers through the lens of temperamental reactivity","declarative pointing gesture, emotional and social communication, temperamental surgency and negative affectivity, dyadic and triadic interactions, infancy"
24010126,00_Maternal contingent responsiveness moderates temperamental risk to support adaptive infant brain and socioemotional development across the first year of life,"electroencephalographic asymmetry, socioemotional development, temperament, caregiverinfant interactions, contingent responsiveness"
24010127,"00_How biology shapes the development of shyness within specific contexts: A longitudinal, cross-lagged investigation","shyness, respiratory sinus arrhythmia, temperament, preschool"
24010128,00_Biological basis of temperament: Respiratory sinus arrhythmia and inhibitory control across childhood,"respiratory sinus arrhythmia, inhibitory control, early childhood, middle childhood"
24010129,00_Development of temperament types from infancy to adolescence: Genetic and environmental influences with an economically and racially/ethnically diverse sample,"temperament, twin study, heritability, latent profile analysis, latent transition analysis"
24010130,00_Associations among temperament characteristics and telomere length and attrition rate in early childhood,"telomere, temperament, early childhood, longitudinal, development"
24010131,00_Children's social preference for peers engaged in brilliance-required activities: The impact of gender and race,"social preference, brilliance, gender, race, intersectionality"
24010132,00_When ethnic-racial discrimination from math teachers spills over and predicts the math adjustment of nondiscriminated adolescents: The mediating role of math classroom climate perceptions,"ethnic–racial discrimination, math achievement, classroom climate"
24010133,00_Learners' causal intuitions explain behavior in control of variables tasks,"cognitive development, causal learning, scientific reasoning"
24010134,00_Infants' home auditory environment: Background sounds shape language interactions,"background sounds, noise, auditory environment, mother–infant interactions, language development"
24010135,00_The effect of unconditional cash transfers on maternal assessments of childrens early language and socioemotional development: Experimental evidence from U.S. families residing in poverty,"unconditional cash transfers, poverty, randomized controlled trial, early language development, early socioemotional development"
24010136,"00_Exploration of auditory statistical learning, socioeconomic status, and language outcomes in Bangladeshi children: A functional near-infrared spectroscopy study","cognitive neuroscience, functional near-infrared spectroscopy, auditory statistical learning, language development, socioeconomic status"
24010137,"00_The ""what"" and ""when"" of language input to children: Linguistic and temporal predictors of vocabulary in 3-year-olds","language input, vocabulary, turn taking, response latency, dialogue timing"
24010138,00_The development of math skills from grades 1 to 12: Novel findings using person-oriented approach,"calculation skills, word-problem solving skills, development of math skills, developmental trajectories, person-oriented approach"
24010139,00_Number and domain both affect the relation between executive function and mathematics achievement: A study of children's executive function with and without numbers,"magnitude processing, executive functions, mathematics achievement, numerical cognition"
24010140,00_How relations between early reading skills and third-grade mathematics outcomes vary across distribution: A quantile regression approach,"reading, mathematics, quantile regression, kindergarten, third grade"
24010141,"00_Does inducing growth-oriented mindsets about math ability in parents enhance childrens math mindsets, affect, and achievement?","achievement, growth mindsets, math, motivation, parenting"
24020001,00_Politics speak louder than skills: Political similarity effects in hireability judgments in multiparty contexts and the role of political interest,"cybervetting, personnel selection, political ideology, similarity attraction, social media"
24020002,00_Who speaks up when harassment is in the air? A within-person investigation of ambient harassment and voice behavior at work,"sexual harassment, gender harassment, affect, voice, gender"
24020003,00_Unpacking on-task effort in performance-based learning: Information–knowledge gaps guide effort allocation decisions,"information–knowledge gaps, exploration–exploitation dilemma, training and development, adaptability, self-regulation"
24020004,00_Looking forward or backward: A temporal lens to disentangle adaptive and maladaptive reactions to daily goal-performance discrepancy,"goal-performance discrepancy, anticipatory thinking, rumination, temporal focus"
24020005,00_Distances and directions: An emotional journey into the recovery process,"affect, emotion regulation, recovery"
24020006,00_Activation and valence in responses to organizational change: Development and validation of the change response circumplex scale,"resistance to change, change attitudes, scale development, change responses, organizational change"
24020007,"00_A breath of toxic air: The relationship between appraised air pollution, abusive supervision, and laissez-faire leadership through the dual-mediating pathways of negative affect and somatic complaints","air pollution, somatic complaints, affect, abusive supervision, laissez-faire leadership"
24020008,00_A creativity stereotype perspective on the Bamboo Ceiling: Low perceived creativity explains the underrepresentation of East Asian leaders in the United States,"Bamboo Ceiling, culture, leadership, stereotypes, creativity evaluation"
24020009,00_The ebb and flow of job engagement: Engagement variability and emotional stability as interactive predictors of job performance,"work engagement, job performance, personality, neuroticism"
24020010,00_How are newcomer proactive behaviors received by leaders and peers? A relational perspective,"newcomer proactive behaviors, competence, threat perceptions, turnover"
24020011,00_Using natural language processing to increase prediction and reduce subgroup differences in personnel selection decisions,"natural language processing, text analysis, artificial intelligence, personnel selection, subgroup differences"
24020012,00_Sorry to ask but … how is apology effectiveness dependent on apology content and gender?,"trust repair, apologies, gender, expectancy violation theory, attributional augmenting"
24020013,00_Beating the rival but losing the game: How the source of alternative offers alters behavior and outcomes in negotiation,"rivalry, negotiations, alternatives, motives, relationships"
24020014,00_Promoting inclusive recruiting and selection into military training schools: Admission waivers versus retesting,"personnel selection, military training, diversity and inclusion, armed services vocational aptitude battery, augmented inverse propensity weighting"
24020015,00_The validity of general cognitive ability predicting job-specific performance is stable across different levels of job experience,"job performance, cognitive ability, job experience"
24020016,00_Do intelligent leaders differentiate exchange relationships intelligently? A functional leadership approach to leader-member exchange differentiation,"leader–member exchange differentiation, ability–motivation–opportunity framework, functional leadership, intelligence, core self-evaluation"
24020017,00_The chemistry between us: Illuminating complementarity patterns in interpersonal role-play assessment via moment-to-moment analyses,"interpersonal complementarity theory, assessment center, role-plays, continuous rating assessments, asynchronous video formats"
24020018,"00_Give them a fishing rod, if it is not urgent: The impact of help type on support for helpers’ leadership","leadership support, perceived benevolence, trust, autonomy- and dependency-oriented helping, informal leadership"
24020019,00_Beyond the first choice: The impact of being an alternate choice on social integration and feedback seeking,"organizational socialization, status, feedback seeking, inclusion, newcomer adjustment"
24020020,00_Ambiguity in advertised compensation: Recruiting implications of nominal compliance with pay transparency legislation,"compensation, pay transparency, recruiting, ambiguity, signaling"
24020021,00_Taking a heavier toll? Racial differences in the effects of workplace mistreatment on depression,"race, mistreatment, depression, attribution"
24020022,00_Following community norms or an internal compass? The role of prospective leaders’ social category membership in the differential effects of authentic and ethical leadership on stereotype threat,"ethical leadership, authentic leadership, stereotype threat, social identity, diversity"
24020023,00_Reciprocal relationships between narcissism and agentic versus communal work activities across the first 6 years of the career,"narcissism, agency, communion, reciprocal relationships, maladaptive traits"
24020024,00_Supervisor integrity empowers employees to advocate for diversity in problematic climates,"diversity advocacy, integrity, leadership, empowerment, diversity climate"
24020025,00_More than just a number: Different conceptualizations of multiple team membership and their relationships with emotional exhaustion and turnover,"multiple team membership, conservation of resources theory, emotional exhaustion, turnover"
24020026,"00_Doxing, political affiliation, and type of information: Effects on suspicion, perceived similarity, and hiring-related judgments","political affiliation, political ideology, doxing, similarity, personnel selection"
24020027,00_Fitting in a workgroup in unique ways: A latent profile analysis of perceived person–group fit characteristics,"person–group fit, person–environment fit, latent profile analysis, group member outcomes"
24020028,00_Hidden consequences of political discourse at work: How and why ambient political conversations impact employee outcomes,"political conversations, negative affect, cognitive depletion, work goal progress, job satisfaction"
24020029,00_Does competitive action intensity influence team performance via leader bottom-line mentality? A social information processing perspective,"leader bottom-line mentality, competitive action intensity, performance reward expectancy"
24020030,00_Breaking boredom: Interrupting the residual effect of state boredom on future productivity,"boredom, emotion regulation, mind-wandering, task meaningfulness, productivity"
24020031,"00_Winter is coming: An investigation of vigilant leadership, antecedents, and outcomes","vigilant leadership, change-oriented leadership, scale development, leadership effectiveness"
24020032,00_Self-inconsistency or self-expansion from wearing multiple hats? The daily effects of enacting multiple professional identities on work meaningfulness,"multiple jobholding, work meaningfulness, self-consistency theory, self-expansion theory"
24020033,00_Psychometric properties of automated video interview competency assessments,"machine learning, artificial intelligence, video interviews"
24020034,"00_The non-White standard: Racial bias in perceptions of diversity, equity, and inclusion leaders","diversity, leadership, racial bias, social role theory, role congruity theory"
24020035,00_The mediating roles of supervisor anger and envy in linking subordinate performance to abusive supervision: A curvilinear examination,"subordinate performance, supervisor emotions, abusive supervision, performance orientation, comparison orientation"
24020036,00_Leaders and the punishment of misconduct: Examining the roles of leader moral identity and cognitive load,"moral identity, punishment, misconduct, cognitive load, moral anger"
24020037,00_Am I next? Men and women’s divergent justice perceptions following vicarious mistreatment,"vicarious gender mistreatment, bystanders, identity threat, psychological gender mistreatment climate, organizational justice"
24020038,00_The PCMT model of organizational support: Scale development and theoretical application,"perceived organizational support, organizational support theory, social exchange theory, social support, measure development"
24020039,00_Zooming out on bargaining tables: Exploring which conversation dynamics predict negotiation outcomes,"negotiation, conversation dynamics, turn-taking"
24020040,00_The “double-edged sword” effects of career support mentoring on newcomer turnover: How and when it helps or hurts,"career support mentoring, newcomer turnover, boundaryless careers, proactive socialization, career self-management"
24020041,00_The contingent nature of the political skill-employee performance relationship,"political skill, political will, political context, task performance, citizenship behavior"
24020042,00_Asking for less (but receiving more): Women avoid impasses and outperform men when negotiators have weak alternatives,"gender, negotiation, impasse, relational orientation, performance"
24020043,00_A conditional reasoning test for risk and incident propensity: Development and validation,"conditional reasoning, risk, incident propensity, safety testing"
24020044,00_Leaders laughing in the line of fire: An emotional aperture perspective on leader laughter in response to critical questions,"emotional aperture, emotion expression, laughter, leadership, social perceptions"
24020045,00_My manager endorsed my coworkers’ voice: Understanding observers’ positive and negative reactions to managerial endorsement of coworker voice,"voice, voice endorsement, third-party reactions, approach-avoidance framework"
24020046,00_Identity work support perceptions (IWSP): Development of a construct and measure,"identity, identity work, organizational support, scale development"
24020047,"00_Gossiping the (recipient’s) day away: The impact of supervisor-directed gossip on recipients’ rumination, sleep quality, vitality, and work outcomes","gossip, recipients, rumination, conservation of resources theory"
24020048,"00_Perceived personal and contextual impunity: Conceptualization, antecedents, and implications for workplace misconduct","workplace misconduct, impunity perceptions, scale development"
24020049,00_A regulatory focus theory perspective on the dynamics between action and power,"psychological power, promotive voice, prohibitive voice, regulatory focus theory"
24020050,00_Does voice endorsement by supervisors enhance or constrain voicer’s personal initiative? Countervailing effects via feeling pride and feeling envied,"voice endorsement, feeling pride, feeling envied, personal initiative, coworker support"
24020051,00_The benefits of reflecting on gratitude received at home for leaders at work: Insights from three field experiments,"gratitude intervention, prosocial impact, need fulfillment, leader helping, empowering leadership"
24020052,"00_Multiple salary comparisons, distributive justice, and employee withdrawal","internal/external salary comparison, model of dispositional attribution, equity theory, distributive justice, employee withdrawal"
24020053,00_Newcomers building social capital by proactive networking: A signaling perspective,"proactive networking, newcomer social networks, signaling behaviors, future orientation, employee reputation"
24020054,00_Unnoticed problems and overlooked opportunities: How and when employees fail to speak up under ambiguous threats,"employee voice, attention-based view, organizational threats, manager trustworthiness"
24020055,00_The cognitive cost of going the extra mile: How striving for improvement relates to cognitive performance,"task proactivity, mental fatigue, cognitive performance, routines, daily diary study"
24020056,"00_Supportive, resistant, or both? A person-centric view on employee responses to diversity initiatives","diversity initiative, diversity practices, resistance to diversity, ambivalence, organizational change"
